"Date","Price","Open","High","Low","Vol.","Change %"
"07-11-2024","17,914.60","18,085.55","18,151.70","17,893.25","","-0.62%"
"06-11-2024","18,027.15","17,781.30","18,040.10","17,732.85","","1.88%"
"05-11-2024","17,694.65","17,564.65","17,718.45","17,496.05","","0.48%"
"04-11-2024","17,609.50","17,928.80","17,943.70","17,509.65","","-1.84%"
"01-11-2024","17,938.85","17,889.55","17,978.35","17,882.95","","1.06%"
"31-10-2024","17,751.20","17,483.65","17,777.00","17,438.55","","1.53%"
"30-10-2024","17,483.40","17,301.80","17,541.45","17,294.10","","1.19%"
"29-10-2024","17,278.20","17,200.70","17,305.35","16,985.00","","0.74%"
"28-10-2024","17,151.60","16,995.75","17,214.55","16,828.90","","1.15%"
"25-10-2024","16,956.05","17,372.25","17,423.95","16,800.30","","-2.28%"
"24-10-2024","17,352.20","17,486.05","17,544.30","17,328.15","","-0.60%"
"23-10-2024","17,456.20","17,251.60","17,604.20","17,038.45","","1.04%"
"22-10-2024","17,275.70","17,929.40","17,936.25","17,242.90","","-3.68%"
"21-10-2024","17,936.30","18,311.65","18,328.40","17,902.95","","-1.65%"
"18-10-2024","18,236.80","18,151.25","18,261.85","17,848.75","","-0.04%"
"17-10-2024","18,244.30","18,561.10","18,575.50","18,225.30","","-1.41%"
"16-10-2024","18,505.95","18,464.65","18,525.60","18,365.60","","0.21%"
"15-10-2024","18,467.65","18,338.95","18,483.60","18,326.80","","1.11%"
"14-10-2024","18,265.10","18,274.75","18,303.85","18,189.25","","0.29%"
"11-10-2024","18,213.00","18,166.70","18,247.45","18,114.20","","0.47%"
"10-10-2024","18,127.35","18,205.55","18,248.00","18,114.15","","0.13%"
"09-10-2024","18,103.95","17,976.45","18,183.30","17,975.55","","1.24%"
"08-10-2024","17,882.85","17,461.85","17,910.50","17,359.50","","2.10%"
"07-10-2024","17,514.50","18,090.85","18,142.50","17,379.70","","-2.81%"
"04-10-2024","18,021.65","18,163.50","18,258.50","17,804.10","","-0.87%"
"03-10-2024","18,179.20","18,257.50","18,431.00","18,119.95","","-1.90%"
"01-10-2024","18,531.80","18,444.80","18,550.45","18,426.60","","0.66%"
"30-09-2024","18,410.70","18,407.20","18,447.70","18,258.35","","0.06%"
"27-09-2024","18,399.85","18,488.50","18,538.95","18,370.50","","-0.19%"
"26-09-2024","18,434.95","18,569.30","18,575.15","18,401.75","","-0.45%"
"25-09-2024","18,518.10","18,614.10","18,621.45","18,458.30","","-0.35%"
"24-09-2024","18,583.30","18,675.10","18,688.30","18,570.45","","-0.21%"
"23-09-2024","18,623.15","18,578.20","18,640.65","18,528.20","","0.86%"
"20-09-2024","18,464.65","18,375.25","18,501.70","18,285.60","","1.06%"
"19-09-2024","18,270.40","18,583.70","18,619.45","18,057.95","","-1.11%"
"18-09-2024","18,475.80","18,568.55","18,610.95","18,393.95","","-0.34%"
"17-09-2024","18,538.30","18,618.70","18,622.85","18,466.95","","-0.19%"
"16-09-2024","18,572.90","18,636.80","18,656.70","18,503.35","","0.16%"
"13-09-2024","18,543.15","18,470.40","18,563.60","18,430.05","","0.88%"
"12-09-2024","18,381.70","18,345.70","18,400.00","18,284.60","","0.78%"
"11-09-2024","18,238.80","18,430.80","18,443.75","18,220.85","","-0.78%"
"10-09-2024","18,383.00","18,255.25","18,400.20","18,254.90","","1.25%"
"09-09-2024","18,155.90","18,280.75","18,283.95","17,955.50","","-0.83%"
"06-09-2024","18,307.85","18,547.85","18,627.45","18,280.10","","-1.01%"
"05-09-2024","18,495.35","18,397.30","18,539.35","18,393.55","","0.95%"
"04-09-2024","18,320.60","18,126.40","18,405.60","18,083.35","","0.31%"
"03-09-2024","18,264.30","18,221.70","18,307.60","18,217.55","","0.59%"
"02-09-2024","18,157.70","18,266.00","18,273.65","18,100.70","","-0.07%"
"30-08-2024","18,170.25","18,175.90","18,210.10","18,082.00","","0.52%"
"29-08-2024","18,077.05","18,206.10","18,246.40","18,005.90","","-0.57%"
"28-08-2024","18,180.30","18,281.85","18,316.25","18,165.65","","-0.22%"
"27-08-2024","18,219.55","18,125.65","18,233.15","18,099.70","","0.77%"
"26-08-2024","18,081.15","18,129.00","18,150.70","18,063.70","","0.41%"
"23-08-2024","18,006.55","18,036.40","18,054.70","17,947.10","","0.12%"
"22-08-2024","17,984.45","18,007.80","18,096.05","17,969.20","","0.32%"
"21-08-2024","17,927.75","17,766.00","17,935.95","17,737.10","","1.10%"
"20-08-2024","17,732.50","17,731.25","17,742.65","17,643.20","","0.54%"
"19-08-2024","17,637.25","17,497.70","17,656.80","17,484.50","","1.53%"
"16-08-2024","17,371.40","17,221.95","17,387.20","17,211.50","","1.71%"
"14-08-2024","17,080.15","17,257.05","17,272.00","16,969.65","","-0.57%"
"13-08-2024","17,177.40","17,490.50","17,490.65","17,148.45","","-1.23%"
"12-08-2024","17,392.15","17,308.70","17,445.95","17,178.65","","0.32%"
"09-08-2024","17,335.90","17,404.80","17,432.40","17,305.30","","0.64%"
"08-08-2024","17,226.15","17,325.35","17,397.75","17,204.10","","-0.28%"
"07-08-2024","17,274.90","17,147.90","17,299.05","16,947.00","","2.39%"
"06-08-2024","16,871.85","17,116.55","17,320.70","16,839.10","","-0.39%"
"05-08-2024","16,937.90","17,193.70","17,309.05","16,845.00","","-4.18%"
"02-08-2024","17,677.65","17,636.75","17,794.55","17,551.25","","-0.83%"
"01-08-2024","17,825.05","18,022.50","18,049.80","17,754.50","","-0.69%"
"31-07-2024","17,948.00","18,021.40","18,038.10","17,922.85","","-0.20%"
"30-07-2024","17,983.30","17,892.40","18,018.00","17,860.95","","0.82%"
"29-07-2024","17,836.55","17,790.90","17,899.75","17,782.00","","1.07%"
"26-07-2024","17,647.40","17,539.85","17,676.15","17,517.25","","0.94%"
"25-07-2024","17,483.80","17,395.60","17,519.25","17,350.35","","-0.28%"
"24-07-2024","17,532.70","17,235.80","17,548.25","17,224.70","","1.86%"
"23-07-2024","17,212.15","17,389.20","17,401.65","16,520.50","","-0.61%"
"22-07-2024","17,317.00","17,029.55","17,355.50","16,896.15","","0.89%"
"19-07-2024","17,163.40","17,588.65","17,593.30","17,140.90","","-2.36%"
"18-07-2024","17,577.65","17,789.75","17,812.00","17,488.00","","-1.11%"
"16-07-2024","17,774.90","17,797.10","17,885.75","17,741.60","","0.18%"
"15-07-2024","17,743.15","17,766.65","17,780.20","17,568.95","","0.36%"
"12-07-2024","17,679.20","17,778.85","17,818.45","17,650.15","","-0.07%"
"11-07-2024","17,692.15","17,674.15","17,707.55","17,594.90","","0.61%"
"10-07-2024","17,585.70","17,790.20","17,807.50","17,249.35","","-0.69%"
"09-07-2024","17,707.65","17,775.90","17,828.00","17,628.00","","0.24%"
"08-07-2024","17,665.75","17,806.20","17,855.05","17,605.60","","-0.26%"
"05-07-2024","17,712.30","17,626.80","17,749.10","17,598.70","","0.68%"
"04-07-2024","17,591.95","17,588.10","17,623.35","17,492.10","","0.56%"
"03-07-2024","17,494.70","17,434.15","17,505.70","17,398.95","","0.90%"
"02-07-2024","17,339.35","17,428.65","17,462.90","17,243.60","","-0.16%"
"01-07-2024","17,367.65","17,190.65","17,375.10","17,176.05","","1.50%"
"28-06-2024","17,111.05","17,079.90","17,172.45","17,076.05","","0.66%"
"27-06-2024","16,999.55","17,145.80","17,216.95","16,920.65","","-0.56%"
"26-06-2024","17,095.70","17,102.25","17,148.20","17,040.60","","0.21%"
"25-06-2024","17,059.70","17,147.30","17,219.05","17,039.55","","0.07%"
"24-06-2024","17,048.15","17,003.35","17,113.40","16,882.75","","0.01%"
"21-06-2024","17,046.55","17,113.80","17,168.75","17,019.95","","-0.04%"
"20-06-2024","17,054.00","17,008.25","17,090.65","16,920.05","","0.66%"
"19-06-2024","16,942.80","17,098.15","17,110.10","16,784.55","","-0.38%"
"18-06-2024","17,007.85","16,966.05","17,028.10","16,905.15","","0.96%"
"14-06-2024","16,845.55","16,771.40","16,874.85","16,717.90","","0.86%"
"13-06-2024","16,701.65","16,675.90","16,716.75","16,588.55","","0.81%"
"12-06-2024","16,567.70","16,487.85","16,582.50","16,482.70","","0.94%"
"11-06-2024","16,413.65","16,380.70","16,489.00","16,309.00","","0.62%"
"10-06-2024","16,312.50","16,244.45","16,362.45","16,190.95","","1.32%"
"07-06-2024","16,100.00","15,826.45","16,110.50","15,767.70","","2.25%"
"06-06-2024","15,745.90","15,447.00","15,797.90","15,445.55","","3.25%"
"05-06-2024","15,250.00","14,908.00","15,274.40","14,466.30","","3.31%"
"04-06-2024","14,761.10","15,947.90","15,947.95","14,145.25","","-7.45%"
"03-06-2024","15,948.75","16,232.05","16,235.05","15,881.30","","2.06%"
"31-05-2024","15,626.65","15,609.40","15,672.05","15,461.20","","0.48%"
"30-05-2024","15,551.95","15,762.45","15,786.90","15,530.60","","-1.48%"
"29-05-2024","15,786.20","15,732.40","15,838.25","15,657.10","","0.08%"
"28-05-2024","15,773.05","15,983.20","15,995.75","15,710.70","","-1.02%"
"27-05-2024","15,935.55","15,951.20","16,002.25","15,824.35","","0.44%"
"24-05-2024","15,865.65","15,906.75","15,978.05","15,848.20","","-0.13%"
"23-05-2024","15,885.85","15,905.10","15,941.30","15,842.95","","0.24%"
"22-05-2024","15,847.05","15,938.60","15,950.05","15,705.95","","-0.13%"
"21-05-2024","15,867.75","15,969.35","15,972.85","15,786.70","","-0.43%"
"18-05-2024","15,935.50","15,935.50","15,935.50","15,935.50","","0.90%"
"17-05-2024","15,792.90","15,626.00","15,804.10","15,614.30","","1.59%"
"16-05-2024","15,545.75","15,511.95","15,566.10","15,487.15","","0.74%"
"15-05-2024","15,431.20","15,387.80","15,483.75","15,375.50","","0.76%"
"14-05-2024","15,315.45","15,124.10","15,328.20","15,122.55","","1.76%"
"13-05-2024","15,050.75","15,130.85","15,156.90","14,780.40","","-0.36%"
"10-05-2024","15,104.90","15,059.00","15,124.30","14,825.10","","0.66%"
"09-05-2024","15,006.35","15,444.10","15,473.55","14,977.25","","-2.65%"
"08-05-2024","15,414.90","15,314.60","15,486.65","15,218.50","","0.49%"
"07-05-2024","15,339.25","15,650.00","15,654.30","15,236.70","","-1.78%"
"06-05-2024","15,617.15","15,893.60","15,901.35","15,541.70","","-1.12%"
"03-05-2024","15,793.30","15,939.40","15,944.70","15,684.45","","-0.35%"
"02-05-2024","15,848.40","15,891.25","15,906.90","15,819.55","","0.09%"
"30-04-2024","15,833.40","15,908.25","15,923.20","15,822.00","","0.06%"
"29-04-2024","15,824.55","15,918.75","15,929.50","15,804.80","","0.06%"
"26-04-2024","15,814.50","15,809.00","15,876.90","15,763.10","","0.48%"
"25-04-2024","15,739.15","15,635.55","15,755.25","15,614.10","","0.83%"
"24-04-2024","15,609.20","15,584.70","15,651.45","15,571.75","","0.80%"
"23-04-2024","15,486.00","15,437.70","15,497.55","15,411.85","","0.96%"
"22-04-2024","15,338.00","15,282.50","15,356.95","15,254.00","","1.16%"
"19-04-2024","15,162.20","15,026.70","15,216.90","14,860.60","","-0.12%"
"18-04-2024","15,180.60","15,271.70","15,369.90","15,149.80","","-0.02%"
